time,jogos,pontos,vitórias,empates,derrotas,gols pró,gols sofridos,aproveitamento,jogos em casa,pontos em casa,vitórias em casa,empates em casa,derrotas em casa,gols pró em casa,gols sofridos em casa,aproveitamento em casa,jogos fora de casa,pontos fora de casa,vitórias fora de casa,empates fora de casa,derrotas fora de casa,gols pró fora de casa,gols sofridos fora de casa,aproveitamento fora de casa
America-MG,228,235,58,61,109,227,332,34.36,114,164,45,29,40,133,131,47.95,114,71,13,32,69,94,201,20.76
America-RN,38,17,4,5,29,24,80,14.91,19,9,2,3,14,12,35,15.79,19,8,2,2,15,12,45,14.04
Athletico-PR,780,1116,309,189,282,1032,965,47.69,390,765,221,102,67,644,357,65.38,390,351,88,87,215,388,608,30.0
Atletico-GO,266,295,72,79,115,288,363,36.97,133,170,43,41,49,158,149,42.61,133,125,29,38,66,130,214,31.33
Atletico-MG,779,1180,327,199,253,1131,978,50.49,390,737,218,83,89,677,408,62.99,389,443,109,116,164,454,570,37.96
Avai,266,271,66,73,127,274,415,33.96,133,177,44,45,44,171,169,44.36,133,94,22,28,83,103,246,23.56
Bahia,426,502,127,121,178,480,565,39.28,213,328,88,64,61,284,232,51.33,213,174,39,57,117,196,333,27.23
Barueri,38,49,12,13,13,59,52,42.98,19,37,10,7,2,35,14,64.91,19,12,2,6,11,24,38,21.05
Botafogo-RJ,696,931,247,190,259,876,881,44.59,349,579,162,93,94,534,381,55.3,347,352,85,97,165,342,500,33.81
Bragantino,152,215,55,50,47,203,180,47.15,76,132,36,24,16,119,76,57.89,76,83,19,26,31,84,104,36.4
Brasiliense,42,42,10,12,20,49,68,33.33,21,25,6,7,8,26,30,39.68,21,17,4,5,12,23,38,26.98
CSA,38,32,8,8,22,24,58,28.07,19,23,6,5,8,17,24,40.35,19,9,2,3,14,7,34,15.79
Ceara,266,308,72,92,102,277,317,38.6,133,204,52,48,33,160,128,51.13,133,104,20,44,69,117,189,26.07
Chapecoense,265,287,70,77,118,261,359,36.1,132,181,48,37,47,149,142,45.71,133,106,22,40,71,112,217,26.57
Corinthians,780,1207,326,229,225,999,832,51.58,390,742,211,109,70,586,355,63.42,390,465,115,120,155,413,477,39.74
Coritiba,590,718,189,151,250,693,787,40.56,295,493,140,73,82,404,279,55.71,295,225,49,78,168,289,508,25.42
Criciuma,168,188,50,38,80,194,264,37.3,84,138,40,18,26,121,98,54.76,84,50,10,20,54,73,166,19.84
Cruzeiro,704,1077,304,165,235,1013,850,50.99,352,651,188,87,77,604,373,61.65,352,426,116,78,158,409,477,40.34
Cuiaba,114,139,34,37,43,105,118,40.64,57,77,19,20,18,58,57,45.03,57,62,15,17,25,47,61,36.26
Figueirense,438,550,142,124,172,530,622,41.86,219,354,95,69,55,311,236,53.88,219,196,47,55,117,219,386,29.83
Flamengo,818,1283,354,221,243,1169,962,52.28,408,776,224,104,80,678,381,63.4,410,507,130,117,163,491,581,41.22
Fluminense,818,1179,322,213,283,1098,1032,48.04,409,726,205,111,93,627,418,59.17,409,453,117,102,190,471,614,36.92
Fortaleza,316,403,108,79,129,374,421,42.51,158,260,73,41,44,232,178,54.85,158,143,35,38,85,142,243,30.17
Goias,590,769,209,142,239,789,839,43.45,295,498,140,78,77,478,340,56.27,295,271,69,64,162,311,499,30.62
Gremio,738,1133,316,185,237,1019,834,51.17,369,739,218,85,66,640,330,66.76,369,394,98,100,171,379,504,35.59
Gremio Prudente,38,31,7,10,21,39,64,27.19,19,20,5,5,9,25,25,35.09,19,11,2,5,12,14,39,19.3
Guarani,130,147,36,39,55,140,180,37.69,65,112,30,22,13,83,57,57.44,65,35,6,17,42,57,123,17.95
Internacional,780,1219,339,202,239,1041,852,52.09,390,780,229,93,68,635,335,66.67,390,439,110,109,171,406,517,37.52
Ipatinga,38,35,9,8,21,37,67,30.7,19,30,9,3,7,28,25,52.63,19,5,0,5,14,9,42,8.77
Joinville,38,31,7,10,21,26,48,27.19,19,25,6,7,6,19,17,43.86,19,6,1,3,15,7,31,10.53
Juventude,286,331,85,76,125,333,440,38.58,143,231,60,51,32,194,145,53.85,143,100,25,25,93,139,295,23.31
Nautico,190,200,54,38,98,224,318,35.09,95,145,42,19,34,131,112,50.88,95,55,12,19,64,93,206,19.3
Palmeiras,734,1177,329,190,215,1077,840,53.45,367,715,212,79,76,641,368,64.94,367,462,117,111,139,436,472,41.96
Parana,248,304,83,55,110,312,369,40.86,124,207,59,30,35,186,136,55.65,124,97,24,25,75,126,233,26.08
Paysandu,134,154,41,31,62,193,245,38.31,67,121,35,16,16,132,90,60.2,67,33,6,15,46,61,155,16.42
Ponte Preta,362,433,114,91,157,414,534,39.87,181,289,83,40,58,256,221,53.22,181,144,31,51,99,158,313,26.52
Portuguesa,114,131,31,38,45,137,157,38.3,57,95,24,23,10,90,54,55.56,57,36,7,15,35,47,103,21.05
Santa Cruz,76,59,15,14,47,86,145,25.88,38,45,13,6,19,50,58,39.47,38,14,2,8,28,36,87,12.28
Santo Andre,38,41,11,8,19,46,61,35.96,19,29,8,5,6,29,25,50.88,19,12,3,3,13,17,36,21.05
Santos,818,1237,340,217,261,1178,982,50.41,409,796,230,106,73,728,389,64.87,409,441,110,111,188,450,593,35.94
Sao Caetano,172,236,65,41,66,209,199,45.74,86,149,43,20,23,120,76,57.75,86,87,22,21,43,89,123,33.72
Sao Paulo,818,1324,365,229,224,1163,879,53.95,409,813,234,111,64,685,352,66.26,409,511,131,118,160,478,527,41.65
Sport,418,500,131,107,180,463,568,39.87,209,349,97,58,54,291,214,55.66,209,151,34,49,126,172,354,24.08
Vasco,628,810,208,186,234,788,883,42.99,314,508,139,91,84,461,367,53.93,314,302,69,95,150,327,516,32.06
Vitoria,396,468,123,99,174,492,581,39.39,198,314,87,53,58,312,245,52.86,198,154,36,46,116,180,336,25.93
